Berichtsjahr,Berichtsmonat,Segment,Marke,Modellreihe,Anzahl,Diesel,Hybrid,Benzin-Hybrid,Diesel-Hybrid,Hybrid (ohne Plug-in),Benzin-Hybrid (ohne Plug-in),Diesel-Hybrid (ohne Plug-in),Plug-in-Hybrid,Benzin-Plug-in-Hybrid,Diesel-Plug-in-Hybrid,Elektro (BEV),Allradantrieb,offener Aufbau,gewerblich,ObjectId
2020,Januar,MITTELKLASSE,AUDI,"A4, S4, RS4",4652,2126000.0,2495000.0,1065000.0,1430000.0,2495000.0,1065000.0,1430000.0,,,,,1965000.0,,4388000.0,738805
2020,Januar,MITTELKLASSE,AUDI,"A5, S5, RS5",1149,469000.0,623000.0,444000.0,179000.0,623000.0,444000.0,179000.0,,,,,470000.0,164000.0,1074000.0,738806
2020,Januar,MITTELKLASSE,BMW,3ER,4344,2733000.0,376000.0,376000.0,,2000.0,2000.0,,374000.0,374000.0,,,1212000.0,,3837000.0,738807
2020,Januar,MITTELKLASSE,BMW,4ER,309,104000.0,,,,,,,,,,,100000.0,84000.0,219000.0,738808
2020,Januar,MITTELKLASSE,CITROEN,C5,584,354000.0,,,,,,,,,,,,,431000.0,738809
2020,Januar,MITTELKLASSE,FORD,MONDEO,700,543000.0,131000.0,131000.0,,131000.0,131000.0,,,,,,60000.0,,633000.0,738810
2020,Januar,MITTELKLASSE,JAGUAR,XE,324,63000.0,,,,,,,,,,,57000.0,,71000.0,738811
2020,Januar,MITTELKLASSE,KIA,OPTIMA,55,9000.0,31000.0,31000.0,,,,,31000.0,31000.0,,,,,44000.0,738812
2020,Januar,MITTELKLASSE,KIA,STINGER,54,5000.0,,,,,,,,,,,51000.0,,41000.0,738813
2020,Januar,MITTELKLASSE,LEXUS,IS,13,,13000.0,13000.0,,13000.0,13000.0,,,,,,,,10000.0,738814
2020,Januar,MITTELKLASSE,LEXUS,RC,6,,3000.0,3000.0,,3000.0,3000.0,,,,,,,,5000.0,738815
2020,Januar,MITTELKLASSE,MAZDA,6,247,65000.0,,,,,,,,,,,6000.0,,164000.0,738816
2020,Januar,MITTELKLASSE,MERCEDES,C-KLASSE,3543,1700000.0,1106000.0,806000.0,300000.0,722000.0,722000.0,,384000.0,84000.0,300000.0,,788000.0,301000.0,2731000.0,738817
2020,Januar,MITTELKLASSE,MERCEDES,CLA-KLASSE,2691,771000.0,4000.0,4000.0,,1000.0,1000.0,,3000.0,3000.0,,,498000.0,,1666000.0,738818
2020,Januar,MITTELKLASSE,OPEL,INSIGNIA,1299,966000.0,,,,,,,,,,,128000.0,,1225000.0,738819
2020,Januar,MITTELKLASSE,PEUGEOT,508,414,168000.0,176000.0,176000.0,,,,,176000.0,176000.0,,,,,388000.0,738820
2020,Januar,MITTELKLASSE,RENAULT,TALISMAN,144,66000.0,,,,,,,,,,,,,78000.0,738821
2020,Januar,MITTELKLASSE,SKODA,SUPERB,1680,973000.0,425000.0,425000.0,,,,,425000.0,425000.0,,,325000.0,,1481000.0,738822
2020,Januar,MITTELKLASSE,SUBARU,LEVORG,15,,,,,,,,,,,,15000.0,,8000.0,738823
2020,Januar,MITTELKLASSE,TESLA,MODEL 3,257,,,,,,,,,,,257000.0,249000.0,,147000.0,738824
2020,Januar,MITTELKLASSE,VOLVO,40,26,3000.0,,,,,,,,,,,,,17000.0,738825
2020,Januar,MITTELKLASSE,VOLVO,60,544,280000.0,71000.0,71000.0,,,,,71000.0,71000.0,,,209000.0,,388000.0,738826
2020,Januar,MITTELKLASSE,VW,ARTEON,1163,260000.0,,,,,,,,,,,176000.0,,690000.0,738827
2020,Januar,MITTELKLASSE,VW,PASSAT,6529,4386000.0,698000.0,698000.0,,,,,698000.0,698000.0,,,1133000.0,,6111000.0,738828
2020,Januar,OBERE MITTELKLASSE,AUDI,"A6, S6, RS6",2889,11000.0,2868000.0,325000.0,2543000.0,2826000.0,283000.0,2543000.0,42000.0,42000.0,,,2345000.0,,2538000.0,738829
2020,Januar,OBERE MITTELKLASSE,BMW,5ER,2798,1182000.0,1038000.0,350000.0,688000.0,688000.0,,688000.0,350000.0,350000.0,,,1496000.0,,2276000.0,738830
2020,Januar,OBERE MITTELKLASSE,JAGUAR,XF,65,50000.0,,,,,,,,,,,35000.0,,43000.0,738831
2020,Januar,OBERE MITTELKLASSE,LEXUS,ES,23,,23000.0,23000.0,,23000.0,23000.0,,,,,,,,18000.0,738832
2020,Januar,OBERE MITTELKLASSE,MERCEDES,E-KLASSE,2942,1621000.0,1206000.0,524000.0,682000.0,480000.0,477000.0,3000.0,726000.0,47000.0,679000.0,,687000.0,,2292000.0,738833
2020,Januar,OBERE MITTELKLASSE,SUBARU,OUTBACK,81,,,,,,,,,,,,81000.0,,44000.0,738834
2020,Januar,OBERE MITTELKLASSE,TOYOTA,CAMRY,70,,70000.0,70000.0,,70000.0,70000.0,,,,,,,,39000.0,738835
2020,Januar,OBERE MITTELKLASSE,VOLVO,90,259,151000.0,68000.0,68000.0,,,,,68000.0,68000.0,,,172000.0,,227000.0,738836
2020,Januar,OBERKLASSE,AUDI,"A7, S7, RS7",245,3000.0,240000.0,108000.0,132000.0,177000.0,45000.0,132000.0,63000.0,63000.0,,,239000.0,,211000.0,738837
2020,Januar,OBERKLASSE,AUDI,"A8, S8",327,4000.0,311000.0,111000.0,200000.0,231000.0,31000.0,200000.0,80000.0,80000.0,,,327000.0,,319000.0,738838
2020,Januar,OBERKLASSE,BENTLEY,CONTINENTAL,71,,,,,,,,,,,,64000.0,24000.0,53000.0,738839
2020,Januar,OBERKLASSE,BMW,6ER,53,39000.0,,,,,,,,,,,23000.0,,40000.0,738840
2020,Januar,OBERKLASSE,BMW,7ER,227,163000.0,37000.0,37000.0,,,,,37000.0,37000.0,,,173000.0,,199000.0,738841
2020,Januar,OBERKLASSE,BMW,8ER,182,49000.0,,,,,,,,,,,174000.0,45000.0,143000.0,738842
2020,Januar,OBERKLASSE,MASERATI,GHIBLI,11,1000.0,,,,,,,,,,,6000.0,,8000.0,738843
2020,Januar,OBERKLASSE,MERCEDES,CLS,182,107000.0,75000.0,75000.0,,75000.0,75000.0,,,,,,129000.0,,143000.0,738844
2020,Januar,OBERKLASSE,MERCEDES,S-KLASSE,186,49000.0,50000.0,50000.0,,25000.0,25000.0,,25000.0,25000.0,,,128000.0,12000.0,158000.0,738845
2020,Januar,OBERKLASSE,PORSCHE,PANAMERA,155,,87000.0,87000.0,,,,,87000.0,87000.0,,,149000.0,,132000.0,738846
2020,Januar,OBERKLASSE,PORSCHE,TAYCAN,167,,,,,,,,,,,167000.0,158000.0,,166000.0,738847
2020,Januar,OBERKLASSE,TESLA,MODEL S,70,,,,,,,,,,,70000.0,70000.0,,40000.0,738848
2020,Januar,SUVs,ALFA ROMEO,STELVIO,129,45000.0,,,,,,,,,,,111000.0,,104000.0,738849
2020,Januar,SUVs,AUDI,E-TRON,572,,,,,,,,,,,572000.0,572000.0,,518000.0,738850
2020,Januar,SUVs,AUDI,Q2,2116,490000.0,,,,,,,,,,,376000.0,,1671000.0,738851
2020,Januar,SUVs,BMW,X1,2153,949000.0,,,,,,,,,,,925000.0,,1263000.0,738852
2020,Januar,SUVs,BMW,X2,789,281000.0,,,,,,,,,,,301000.0,,478000.0,738853
2020,Januar,SUVs,CITROEN,C4 CACTUS,245,50000.0,,,,,,,,,,,,,206000.0,738854
2020,Januar,SUVs,DACIA,DUSTER,734,133000.0,,,,,,,,,,,243000.0,,142000.0,738855
2020,Januar,SUVs,DS,DS7 CROSSBACK,171,55000.0,95000.0,95000.0,,,,,95000.0,95000.0,,,,,144000.0,738856
2020,Januar,SUVs,FORD,ECOSPORT,1608,26000.0,,,,,,,,,,,1000.0,,808000.0,738857
2020,Januar,SUVs,FORD,EDGE,208,208000.0,,,,,,,,,,,208000.0,,120000.0,738858
2020,Januar,SUVs,FORD,EXPLORER,28,,28000.0,28000.0,,,,,28000.0,28000.0,,,28000.0,,25000.0,738859
2020,Januar,SUVs,FORD,KUGA,1207,552000.0,25000.0,11000.0,14000.0,14000.0,,14000.0,11000.0,11000.0,,,608000.0,,1077000.0,738860
2020,Januar,SUVs,HONDA,CR-V,325,,209000.0,209000.0,,209000.0,209000.0,,,,,,209000.0,,125000.0,738861
2020,Januar,SUVs,HONDA,HR-V,216,,,,,,,,,,,,,,54000.0,738862
2020,Januar,SUVs,HYUNDAI,KONA,1663,51000.0,332000.0,332000.0,,332000.0,332000.0,,,,,358000.0,102000.0,,828000.0,738863
2020,Januar,SUVs,HYUNDAI,NEXO,6,,,,,,,,,,,,,,5000.0,738864
2020,Januar,SUVs,HYUNDAI,TUCSON,1518,32000.0,343000.0,,343000.0,343000.0,,343000.0,,,,,416000.0,,980000.0,738865
2020,Januar,SUVs,JAGUAR,I-PACE,88,,,,,,,,,,,88000.0,88000.0,,60000.0,738866
2020,Januar,SUVs,KIA,NIRO,319,,287000.0,287000.0,,180000.0,180000.0,,107000.0,107000.0,,32000.0,,,158000.0,738867
