DATE,SEGMENT,MODELLREIHE,INSGESAMT,CO2-EMISSION IN G/KM,BENZIN,CO2-EMISSION IN G/KM1,KRAFTSTOFFVERBRAUCH IN L/100 KM,DIESEL,CO2-EMISSION IN G/KM2,KRAFTSTOFFVERBRAUCH IN L/100 KM1,ERDGAS (CNG) (EINSCHL. BIVALENT),FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),HYBRID,DAR. PLUG-IN,ELEKTRO (BEV)
202205,OBERKLASSE,MASERATI QUATTROPORTE,3,269,3,269,11.6,,,,,,,,
202205,OBERKLASSE,MERCEDES CLS,93,188.9,,,,35,175.4,6.6,,,58,,
202205,OBERKLASSE,MERCEDES S-KLASSE,631,115,7,322.2,13.9,226,185.8,7,,,219,101,179
202205,OBERKLASSE,POLESTAR 1,6,17.3,,,,,,,,,6,6,
202205,OBERKLASSE,PORSCHE PANAMERA,132,131.3,45,278.9,12,,,,,,87,87,
202205,OBERKLASSE,PORSCHE TAYCAN,387,,,,,,,,,,,,387
202205,OBERKLASSE,ROLLS ROYCE DAWN,1,368,1,368,15.9,,,,,,,,
202205,OBERKLASSE,ROLLS ROYCE WRAITH,1,358,1,358,15.4,,,,,,,,
202205,SUVS,ALFA ROMEO STELVIO,134,191.9,77,212.8,9.2,57,163.6,6.2,,,,,
202205,SUVS,AUDI E-TRON,1147,,,,,,,,,,,,1147
202205,SUVS,AUDI Q2,1009,143,803,144.7,6.2,206,136.5,5.2,,,,,
202205,SUVS,AUDI Q4,914,,,,,,,,,,,,914
202205,SUVS,BMW IX,311,,,,,,,,,,,,311
202205,SUVS,BMW X1,1873,105.7,681,150.5,6.5,450,141.6,5.3,,,742,742,
202205,SUVS,BMW X2,546,130.9,269,152.2,6.6,191,141.9,5.4,,,86,86,
202205,SUVS,CADILLAC XT4,21,207.7,18,213,9.2,3,175.7,6.6,,,,,
202205,SUVS,DACIA DUSTER,861,140.6,612,144.4,6.2,124,134.3,5.1,,125,,,
202205,SUVS,DS DS7 CROSSBACK,76,79.3,19,158.6,6.8,7,139.9,5.3,,,50,50,
202205,SUVS,FORD ECOSPORT,484,144.6,484,144.6,6.2,,,,,,,,
202205,SUVS,FORD EXPLORER,9,71,,,,,,,,,9,9,
202205,SUVS,FORD KUGA,3484,81.8,284,151.3,6.5,941,151.1,5.7,,,2259,1948,
202205,SUVS,FORD MUSTANG MACH-E,334,,,,,,,,,,,,334
202205,SUVS,HONDA CR-V,135,157.3,,,,,,,,,135,,
202205,SUVS,HONDA HR-V,388,121.8,,,,,,,,,388,,
202205,SUVS,HYUNDAI BAYON,305,121.2,111,124,5.3,,,,,,194,,
202205,SUVS,HYUNDAI IONIQ5,1043,,,,,,,,,,,,1043
202205,SUVS,HYUNDAI KONA,2027,47.7,404,152.5,6.6,,,,,,300,,1323
202205,SUVS,HYUNDAI NEXO,25,,,,,,,,,,,,
202205,SUVS,HYUNDAI TUCSON,1335,84.7,55,151.9,6.5,,,,,,1280,711,
202205,SUVS,JAGUAR I-PACE,22,,,,,,,,,,,,22
202205,SUVS,KIA EV6,409,,,,,,,,,,,,409
202205,SUVS,KIA NIRO,635,11.7,,,,,,,,,183,163,452
202205,SUVS,KIA SPORTAGE,1838,113.7,277,155.5,6.7,,,,,,1561,598,
202205,SUVS,KIA STONIC,308,127.7,215,127.9,5.5,,,,,,93,,
202205,SUVS,LADA NIVA,59,233,59,233,10,,,,,,,,
202205,SUVS,LEXUS NX,52,102.3,,,,,,,,,52,18,
202205,SUVS,LEXUS RX,21,184.4,2,235,10.1,,,,,,19,,
202205,SUVS,LEXUS UX,41,117.9,,,,,,,,,39,,2
202205,SUVS,LYNK & CO 01,218,42.9,,,,,,,,,218,190,
202205,SUVS,MASERATI LEVANTE,27,252.3,10,287.5,12.4,,,,,,17,,
202205,SUVS,MAZDA CX-3,25,149.6,25,149.6,6.4,,,,,,,,
202205,SUVS,MAZDA CX-5,347,168.7,288,169.5,7.3,59,164.6,6.2,,,,,
202205,SUVS,MAZDA CX-30,574,139.4,,,,,,,,,574,,
202205,SUVS,MAZDA MX-30,82,,,,,,,,,,,,82
202205,SUVS,MERCEDES GLA,1027,82.6,429,165.7,7.1,93,145.2,5.5,,,44,44,461
202205,SUVS,MERCEDES GLB,1412,107,508,171.1,7.4,432,150.3,5.7,,,,,472
202205,SUVS,"MERCEDES GLK, GLC",1955,129.8,93,268.6,11.6,808,172.6,6.5,,,923,650,131
202205,SUVS,MG ROEWE MARVEL,38,,,,,,,,,,,,38
202205,SUVS,MG ROEWE RX6,508,43.2,,,,,,,,,508,508,
202205,SUVS,MG ROEWE ZS,218,,,,,,,,,,,,218
202205,SUVS,MITSUBISHI ECLIPSE CROSS,1002,46.3,,,,,,,,,1002,1002,
202205,SUVS,NISSAN QASHQAI,990,145.4,,,,,,,,,990,,
202205,SUVS,OPEL CROSSLAND X,1740,134,1592,134.6,5.8,148,127.6,4.8,,,,,
202205,SUVS,OPEL GRANDLAND X,707,119.1,423,144.2,6.2,126,135.1,5.1,,,158,158,
