DATE,MARKE,INSGESAMT,WEISS,GELB,ORANGE,ROT,LILA/VIOLETT,BLAU,GRUN,GRAU,BRAUN,SCHWARZ,SONSTIGE
202102,SUZUKI,993.0,139.0,49.0,31.0,183.0,,132.0,77.0,189.0,90.0,103.0,
202102,TESLA,1918.0,917.0,,1.0,145.0,,168.0,,404.0,,282.0,1.0
202102,TOYOTA,4554.0,1403.0,18.0,19.0,722.0,1.0,217.0,78.0,1250.0,70.0,762.0,14.0
202102,VOLVO,3593.0,622.0,,82.0,,,422.0,2.0,1074.0,33.0,1357.0,1.0
202102,VW,40115.0,9581.0,607.0,355.0,1484.0,11.0,4435.0,512.0,13813.0,205.0,8585.0,527.0
202102,SONSTIGE,1141.0,212.0,15.0,10.0,83.0,13.0,77.0,74.0,215.0,26.0,198.0,218.0
202101,ALFA ROMEO,176.0,31.0,,,32.0,,23.0,4.0,37.0,,49.0,
202101,AUDI,11616.0,1738.0,136.0,36.0,266.0,2.0,1409.0,207.0,3640.0,25.0,4146.0,11.0
202101,BMW,16479.0,3606.0,98.0,147.0,188.0,9.0,2022.0,73.0,4415.0,61.0,5858.0,2.0
202101,CITROEN,2254.0,468.0,13.0,87.0,87.0,,192.0,96.0,658.0,11.0,304.0,338.0
202101,DACIA,1909.0,253.0,,232.0,169.0,,388.0,,502.0,88.0,276.0,1.0
202101,DS,130.0,19.0,3.0,,5.0,,16.0,,44.0,4.0,39.0,
202101,FIAT,3773.0,767.0,30.0,33.0,271.0,,225.0,232.0,630.0,11.0,312.0,1262.0
202101,FORD,10208.0,2236.0,21.0,98.0,801.0,,1641.0,57.0,3190.0,,1985.0,179.0
202101,HONDA,286.0,80.0,12.0,,47.0,1.0,28.0,,68.0,4.0,46.0,
202101,HYUNDAI,4194.0,801.0,,12.0,477.0,,622.0,202.0,1457.0,42.0,577.0,4.0
202101,JAGUAR,196.0,27.0,1.0,,4.0,,20.0,13.0,64.0,2.0,65.0,
202101,JEEP,793.0,122.0,1.0,6.0,27.0,,100.0,12.0,286.0,,239.0,
202101,KIA,3024.0,862.0,61.0,20.0,190.0,,437.0,10.0,871.0,14.0,559.0,
202101,LAND ROVER,634.0,97.0,2.0,,16.0,,25.0,54.0,171.0,15.0,252.0,2.0
202101,LEXUS,215.0,49.0,,3.0,10.0,,9.0,19.0,76.0,3.0,46.0,
202101,MAZDA,1398.0,222.0,,,401.0,,103.0,,449.0,24.0,199.0,
202101,MERCEDES,17912.0,3611.0,114.0,11.0,338.0,7.0,1180.0,114.0,5646.0,27.0,6578.0,286.0
202101,MINI,1812.0,217.0,,25.0,133.0,1.0,202.0,265.0,475.0,,494.0,
202101,MITSUBISHI,1406.0,414.0,55.0,1.0,252.0,,93.0,,295.0,52.0,243.0,1.0
202101,NISSAN,1987.0,447.0,,27.0,292.0,19.0,205.0,1.0,504.0,44.0,440.0,8.0
202101,OPEL,10220.0,2035.0,2.0,477.0,1229.0,3.0,1322.0,31.0,2978.0,57.0,2059.0,27.0
202101,PEUGEOT,3335.0,782.0,266.0,88.0,255.0,,483.0,12.0,757.0,46.0,608.0,38.0
202101,POLESTAR,136.0,31.0,,,,,20.0,,49.0,,36.0,
202101,PORSCHE,1933.0,265.0,12.0,11.0,87.0,1.0,134.0,82.0,583.0,15.0,743.0,
202101,RENAULT,8207.0,2304.0,52.0,292.0,903.0,35.0,1160.0,28.0,1919.0,51.0,1445.0,18.0
202101,SEAT,8044.0,1835.0,1.0,7.0,775.0,2.0,734.0,121.0,2729.0,10.0,1826.0,4.0
202101,SKODA,11382.0,2034.0,54.0,8.0,495.0,9.0,1547.0,286.0,3999.0,124.0,2824.0,2.0
202101,SMART,1833.0,311.0,30.0,12.0,148.0,1.0,60.0,52.0,375.0,5.0,839.0,
202101,SSANGYONG,45.0,9.0,,3.0,8.0,,8.0,,8.0,,9.0,
202101,SUBARU,157.0,29.0,3.0,,12.0,,31.0,8.0,50.0,7.0,17.0,
202101,SUZUKI,819.0,126.0,35.0,19.0,177.0,,91.0,51.0,147.0,60.0,111.0,2.0
202101,TESLA,453.0,174.0,,,64.0,2.0,53.0,,94.0,,66.0,
202101,TOYOTA,3626.0,1176.0,10.0,12.0,549.0,,165.0,87.0,927.0,70.0,628.0,2.0
202101,VOLVO,3624.0,717.0,,83.0,,1.0,381.0,20.0,1025.0,38.0,1358.0,1.0
202101,VW,34189.0,8231.0,473.0,222.0,1102.0,5.0,3684.0,430.0,12322.0,164.0,7262.0,294.0
202101,SONSTIGE,1349.0,291.0,20.0,10.0,94.0,21.0,153.0,66.0,241.0,14.0,275.0,164.0
202012,ALFA ROMEO,419.0,74.0,1.0,,86.0,,42.0,15.0,86.0,,115.0,
202012,AUDI,19723.0,3107.0,214.0,64.0,539.0,23.0,2150.0,300.0,6299.0,63.0,6942.0,22.0
202012,BMW,26684.0,5641.0,96.0,242.0,284.0,26.0,2919.0,77.0,7245.0,90.0,10053.0,11.0
202012,CITROEN,4591.0,1040.0,22.0,68.0,195.0,,291.0,91.0,1515.0,35.0,776.0,558.0
202012,DACIA,7621.0,1605.0,7.0,175.0,813.0,1.0,1882.0,1.0,1662.0,456.0,1005.0,14.0
202012,DS,387.0,96.0,8.0,,9.0,3.0,26.0,,127.0,20.0,98.0,
202012,FIAT,9287.0,1937.0,44.0,94.0,844.0,1.0,659.0,459.0,1818.0,31.0,1308.0,2092.0
202012,FORD,18070.0,3789.0,55.0,172.0,1644.0,2.0,2797.0,180.0,5533.0,6.0,3540.0,352.0
202012,HONDA,1399.0,306.0,42.0,,152.0,2.0,199.0,2.0,353.0,53.0,290.0,
202012,HYUNDAI,12741.0,2874.0,2.0,71.0,1677.0,3.0,1540.0,294.0,4102.0,111.0,2058.0,9.0
202012,JAGUAR,903.0,216.0,2.0,2.0,35.0,,54.0,5.0,241.0,3.0,345.0,
202012,JEEP,1719.0,309.0,4.0,4.0,50.0,,171.0,48.0,599.0,,534.0,
202012,KIA,5391.0,1489.0,88.0,46.0,346.0,1.0,573.0,29.0,1739.0,45.0,1035.0,
202012,LAND ROVER,1265.0,224.0,1.0,3.0,44.0,,34.0,70.0,332.0,75.0,482.0,
202012,LEXUS,437.0,96.0,,5.0,25.0,,29.0,39.0,131.0,5.0,107.0,
202012,MAZDA,5646.0,1087.0,,1.0,1301.0,,285.0,1.0,1921.0,123.0,927.0,
202012,MERCEDES,30604.0,5722.0,253.0,8.0,676.0,13.0,1897.0,125.0,10772.0,14.0,10674.0,450.0
202012,MINI,4485.0,601.0,2.0,64.0,364.0,,439.0,596.0,1252.0,,1166.0,1.0
202012,MITSUBISHI,2469.0,739.0,78.0,2.0,435.0,,125.0,1.0,522.0,127.0,440.0,
202012,NISSAN,3849.0,945.0,2.0,29.0,515.0,55.0,352.0,10.0,980.0,105.0,847.0,9.0
202012,OPEL,15561.0,2928.0,2.0,916.0,1838.0,1.0,1967.0,18.0,4790.0,115.0,2951.0,35.0
202012,PEUGEOT,5285.0,1155.0,329.0,236.0,377.0,,679.0,21.0,1270.0,106.0,1030.0,82.0
202012,PORSCHE,2813.0,333.0,20.0,21.0,146.0,6.0,231.0,88.0,925.0,32.0,1011.0,
202012,RENAULT,14335.0,4788.0,64.0,688.0,1269.0,163.0,2219.0,26.0,3032.0,82.0,1982.0,22.0
202012,SEAT,10436.0,2283.0,1.0,20.0,1140.0,2.0,792.0,86.0,3555.0,11.0,2544.0,2.0
202012,SKODA,19163.0,3398.0,163.0,16.0,818.0,18.0,2770.0,449.0,6660.0,248.0,4620.0,3.0
202012,SMART,3078.0,529.0,29.0,14.0,289.0,5.0,58.0,149.0,604.0,3.0,1398.0,
202012,SSANGYONG,115.0,16.0,,16.0,24.0,,10.0,,24.0,,24.0,1.0
202012,SUBARU,353.0,45.0,1.0,1.0,19.0,,72.0,30.0,113.0,26.0,46.0,
202012,SUZUKI,2200.0,370.0,110.0,37.0,333.0,1.0,229.0,108.0,459.0,184.0,369.0,
202012,TESLA,3545.0,1569.0,,,248.0,1.0,408.0,,778.0,,540.0,1.0
202012,TOYOTA,8492.0,2523.0,24.0,26.0,1348.0,1.0,458.0,311.0,2204.0,132.0,1457.0,8.0
202012,VOLVO,5691.0,1097.0,1.0,192.0,1.0,1.0,624.0,32.0,1718.0,65.0,1959.0,1.0
202012,VW,60140.0,15568.0,876.0,487.0,2070.0,21.0,6353.0,1057.0,22413.0,279.0,10603.0,413.0
202012,SONSTIGE,2497.0,418.0,16.0,8.0,113.0,63.0,304.0,91.0,797.0,22.0,440.0,225.0
202011,ALFA ROMEO,324.0,52.0,,,59.0,,41.0,20.0,62.0,1.0,89.0,
202011,AUDI,19149.0,2940.0,194.0,63.0,537.0,19.0,2032.0,319.0,6374.0,61.0,6604.0,6.0
202011,BMW,24532.0,5372.0,135.0,309.0,345.0,17.0,3122.0,109.0,6851.0,73.0,8184.0,15.0
202011,CITROEN,4487.0,1187.0,13.0,73.0,190.0,,276.0,127.0,1448.0,21.0,673.0,479.0
202011,DACIA,4702.0,924.0,5.0,157.0,497.0,2.0,1092.0,1.0,1046.0,311.0,659.0,8.0
202011,DS,268.0,77.0,2.0,,6.0,1.0,29.0,1.0,80.0,13.0,59.0,
202011,FIAT,7577.0,1970.0,38.0,57.0,651.0,1.0,401.0,271.0,1403.0,34.0,931.0,1820.0
202011,FORD,19669.0,3824.0,55.0,178.0,1554.0,,3445.0,111.0,6335.0,7.0,3890.0,270.0
202011,HONDA,1043.0,296.0,11.0,,106.0,,159.0,2.0,236.0,33.0,200.0,
202011,HYUNDAI,9936.0,2299.0,2.0,83.0,1379.0,3.0,1164.0,159.0,3134.0,117.0,1589.0,7.0
202011,JAGUAR,483.0,78.0,5.0,,20.0,,55.0,11.0,151.0,3.0,160.0,
202011,JEEP,1449.0,248.0,3.0,10.0,41.0,,90.0,36.0,494.0,,527.0,
202011,KIA,5600.0,1456.0,105.0,54.0,308.0,,615.0,33.0,1886.0,43.0,1100.0,
202011,LAND ROVER,1254.0,220.0,2.0,4.0,40.0,,49.0,41.0,360.0,41.0,497.0,
202011,LEXUS,332.0,42.0,1.0,3.0,20.0,,22.0,40.0,129.0,2.0,73.0,
202011,MAZDA,5928.0,1104.0,1.0,,1482.0,,355.0,2.0,1880.0,160.0,944.0,
202011,MERCEDES,32869.0,6478.0,261.0,9.0,837.0,16.0,1978.0,124.0,11301.0,8.0,11390.0,467.0
202011,MINI,3634.0,570.0,,44.0,257.0,2.0,389.0,483.0,996.0,1.0,892.0,
202011,MITSUBISHI,2910.0,815.0,155.0,5.0,544.0,,178.0,,569.0,141.0,503.0,
202011,NISSAN,2975.0,656.0,,21.0,448.0,54.0,283.0,9.0,745.0,87.0,661.0,11.0
202011,OPEL,18338.0,3533.0,1.0,963.0,2162.0,1.0,2367.0,3.0,5298.0,279.0,3712.0,19.0
202011,PEUGEOT,5828.0,1318.0,230.0,191.0,460.0,,686.0,22.0,1425.0,137.0,1273.0,86.0
202011,PORSCHE,2759.0,356.0,19.0,9.0,129.0,3.0,224.0,94.0,867.0,12.0,1045.0,1.0
202011,RENAULT,13775.0,4174.0,111.0,408.0,1473.0,163.0,1991.0,59.0,3323.0,84.0,1966.0,23.0
202011,SEAT,9291.0,2218.0,3.0,25.0,1309.0,,611.0,138.0,2822.0,17.0,2143.0,5.0
202011,SKODA,17094.0,3103.0,76.0,12.0,849.0,10.0,2685.0,273.0,5848.0,252.0,3986.0,
202011,SMART,3018.0,472.0,47.0,6.0,255.0,,70.0,124.0,523.0,10.0,1511.0,
202011,SSANGYONG,116.0,13.0,,14.0,28.0,,13.0,,26.0,,22.0,
202011,SUBARU,357.0,38.0,2.0,2.0,12.0,,72.0,30.0,144.0,15.0,42.0,
202011,SUZUKI,2316.0,538.0,97.0,40.0,330.0,,213.0,130.0,501.0,153.0,312.0,2.0
202011,TESLA,1680.0,734.0,,,123.0,2.0,201.0,,391.0,1.0,227.0,1.0
202011,TOYOTA,8498.0,2504.0,35.0,38.0,1388.0,1.0,471.0,352.0,2253.0,104.0,1350.0,2.0
202011,VOLVO,4615.0,959.0,,152.0,,1.0,484.0,2.0,1309.0,40.0,1664.0,4.0
202011,VW,51087.0,13675.0,641.0,537.0,2237.0,16.0,5712.0,755.0,16994.0,191.0,9939.0,390.0
202011,SONSTIGE,2257.0,479.0,19.0,15.0,105.0,34.0,263.0,65.0,697.0,27.0,369.0,184.0
202010,ALFA ROMEO,359.0,52.0,,1.0,89.0,,41.0,17.0,64.0,,95.0,
202010,AUDI,20922.0,3163.0,216.0,78.0,741.0,18.0,2359.0,344.0,7180.0,46.0,6773.0,4.0
202010,BMW,20825.0,4592.0,62.0,216.0,395.0,17.0,2519.0,76.0,5694.0,66.0,7179.0,9.0
202010,CITROEN,3906.0,1018.0,4.0,49.0,170.0,,248.0,89.0,1301.0,22.0,560.0,445.0
202010,DACIA,4568.0,858.0,16.0,151.0,466.0,1.0,1157.0,,980.0,273.0,658.0,8.0
202010,DS,182.0,39.0,7.0,,5.0,2.0,16.0,,60.0,15.0,38.0,
202010,FIAT,6733.0,1539.0,33.0,99.0,565.0,,387.0,205.0,1177.0,49.0,690.0,1989.0
202010,FORD,16572.0,3316.0,34.0,126.0,1171.0,1.0,2806.0,82.0,5525.0,4.0,3245.0,262.0
202010,HONDA,1081.0,230.0,7.0,,131.0,1.0,186.0,,249.0,34.0,243.0,
202010,HYUNDAI,10458.0,2457.0,3.0,55.0,1492.0,,1394.0,121.0,3051.0,155.0,1700.0,30.0
202010,JAGUAR,412.0,43.0,14.0,,16.0,,21.0,10.0,162.0,,146.0,
202010,JEEP,1131.0,171.0,2.0,18.0,46.0,1.0,98.0,39.0,421.0,,335.0,
202010,KIA,6352.0,1809.0,124.0,70.0,319.0,,654.0,45.0,2105.0,29.0,1197.0,
202010,LAND ROVER,1245.0,198.0,2.0,8.0,30.0,,60.0,66.0,341.0,54.0,486.0,
202010,LEXUS,397.0,83.0,,7.0,14.0,,23.0,34.0,130.0,4.0,102.0,
202010,MAZDA,3800.0,621.0,,1.0,976.0,,262.0,1.0,1274.0,116.0,549.0,
202010,MERCEDES,32698.0,6291.0,258.0,9.0,805.0,19.0,1920.0,136.0,11540.0,29.0,11194.0,497.0
202010,MINI,4347.0,650.0,,51.0,337.0,1.0,538.0,552.0,1087.0,1.0,1130.0,
202010,MITSUBISHI,3432.0,1296.0,65.0,4.0,646.0,,137.0,1.0,634.0,141.0,507.0,1.0
202010,NISSAN,2616.0,573.0,1.0,26.0,364.0,18.0,247.0,4.0,697.0,52.0,627.0,7.0
202010,OPEL,16867.0,3267.0,9.0,898.0,2103.0,3.0,2229.0,3.0,5112.0,108.0,3096.0,39.0
202010,PEUGEOT,5054.0,1051.0,229.0,195.0,428.0,1.0,642.0,23.0,1221.0,134.0,983.0,147.0
202010,PORSCHE,2711.0,338.0,26.0,26.0,148.0,5.0,230.0,114.0,833.0,13.0,978.0,
202010,RENAULT,12940.0,3860.0,110.0,443.0,1487.0,224.0,1836.0,63.0,3004.0,70.0,1824.0,19.0
202010,SEAT,9944.0,2450.0,1.0,60.0,1118.0,1.0,555.0,229.0,3008.0,48.0,2466.0,8.0
202010,SKODA,17151.0,3100.0,47.0,13.0,873.0,11.0,2704.0,306.0,5844.0,231.0,4020.0,2.0
202010,SMART,2441.0,341.0,53.0,12.0,209.0,1.0,70.0,19.0,390.0,9.0,1336.0,1.0
202010,SSANGYONG,131.0,18.0,,13.0,14.0,,19.0,,32.0,,35.0,
202010,SUBARU,411.0,47.0,2.0,1.0,36.0,,68.0,24.0,166.0,18.0,49.0,
202010,SUZUKI,2272.0,362.0,124.0,36.0,325.0,,271.0,118.0,511.0,175.0,349.0,1.0
202010,TESLA,252.0,101.0,,,30.0,1.0,30.0,,59.0,,31.0,
202010,TOYOTA,7979.0,2355.0,44.0,62.0,1173.0,,453.0,169.0,2292.0,56.0,1372.0,3.0
202010,VOLVO,4571.0,978.0,1.0,113.0,1.0,2.0,468.0,2.0,1321.0,45.0,1640.0,
202010,VW,47204.0,12120.0,734.0,497.0,1625.0,47.0,4796.0,841.0,16183.0,216.0,9667.0,478.0
