DATE,LAND,STATISTISCHE KENNZIFFER UND ZULASSUNGSBEZIRK,INSGESAMT,BENZIN,DIESEL,GAS (EINSCHL. BIVALENT),HYBRID INSGESAMT,ELEKTRO (BEV),SONSTIGE,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,SONSTIGE1
2020,BADEN-WURTTEMBERG,08437 SIGMARINGEN,86355.0,52328.0,32152.0,664.0,1027.0,171.0,13.0,859.0,4586.0,5892.0,22856.0,24449.0,26170.0,502.0
2020,BAYERN,"09161 INGOLSTADT,STADT",100807.0,60391.0,31774.0,955.0,6745.0,928.0,14.0,1161.0,4554.0,4606.0,17695.0,17896.0,49629.0,3523.0
2020,BAYERN,"09162 MUENCHEN,STADT",740244.0,446481.0,264201.0,3652.0,20082.0,5695.0,133.0,9363.0,33003.0,39577.0,137930.0,148572.0,349554.0,8202.0
2020,BAYERN,"09163 ROSENHEIM,STADT",34857.0,21807.0,12367.0,207.0,356.0,115.0,5.0,358.0,1723.0,2346.0,8648.0,9365.0,11711.0,201.0
2020,BAYERN,09171 ALTOETTING,71046.0,44743.0,24933.0,374.0,764.0,222.0,10.0,642.0,3403.0,4674.0,18387.0,20406.0,22146.0,456.0
2020,BAYERN,09172 BERCHTESGADENER LAND,65251.0,41802.0,22433.0,285.0,553.0,168.0,10.0,724.0,2898.0,3748.0,15600.0,18445.0,22305.0,439.0
2020,BAYERN,09173 BAD TOELZ-WOLFRATSHAUSEN,80197.0,48218.0,30276.0,474.0,933.0,279.0,17.0,879.0,3818.0,5158.0,18785.0,22817.0,26793.0,634.0
2020,BAYERN,09174 DACHAU,92478.0,59266.0,31180.0,640.0,1065.0,311.0,16.0,1005.0,4549.0,6102.0,23156.0,24929.0,30687.0,648.0
2020,BAYERN,09175 EBERSBERG,84812.0,52828.0,30004.0,467.0,1100.0,399.0,14.0,843.0,3933.0,5014.0,19345.0,23586.0,29938.0,736.0
2020,BAYERN,09176 EICHSTAETT,84177.0,51151.0,31497.0,554.0,734.0,231.0,10.0,1049.0,5210.0,5293.0,21206.0,23374.0,26124.0,481.0
2020,BAYERN,09177 ERDING,89204.0,53638.0,33377.0,508.0,1352.0,312.0,17.0,901.0,4112.0,5640.0,22325.0,25509.0,28996.0,538.0
2020,BAYERN,09178 FREISING,109103.0,64148.0,42372.0,750.0,1185.0,629.0,19.0,1253.0,5478.0,7484.0,27015.0,29956.0,35200.0,1091.0
2020,BAYERN,09179 FUERSTENFELDBRUCK,122967.0,80945.0,39343.0,769.0,1454.0,438.0,18.0,1492.0,6387.0,8122.0,30667.0,32944.0,40558.0,881.0
2020,BAYERN,09180 GARMISCH-PARTENKIRCHEN,51923.0,33046.0,17930.0,309.0,488.0,137.0,13.0,678.0,2689.0,3512.0,12315.0,14811.0,16767.0,376.0
2020,BAYERN,09181 LANDSBERG AM LECH,81721.0,48836.0,30763.0,643.0,1005.0,456.0,18.0,989.0,4064.0,5356.0,19883.0,21971.0,27060.0,882.0
2020,BAYERN,09182 MIESBACH,65873.0,39917.0,24607.0,291.0,777.0,266.0,15.0,799.0,2927.0,3794.0,13835.0,18237.0,24353.0,587.0
2020,BAYERN,09183 MUEHLDORF A.INN,74355.0,45894.0,26970.0,388.0,863.0,232.0,8.0,777.0,3983.0,5259.0,19974.0,20764.0,22226.0,511.0
2020,BAYERN,09184 MUENCHEN,244513.0,145489.0,90587.0,1053.0,5764.0,1579.0,41.0,2394.0,8887.0,11750.0,42853.0,54473.0,112740.0,7217.0
2020,BAYERN,09185 NEUBURG-SCHROBENHAUSEN,65137.0,39528.0,24378.0,444.0,635.0,144.0,8.0,750.0,4107.0,4882.0,17566.0,17616.0,18797.0,373.0
2020,BAYERN,09186 PFAFFENHOFEN A.D.ILM,83487.0,48979.0,32733.0,672.0,773.0,320.0,10.0,961.0,4743.0,5913.0,21128.0,22836.0,26112.0,640.0
