Bundesland;Date;Powertrain;Reg
BRANDENBURG;01.09.21;Benzin;1363
BRANDENBURG;01.09.21;Diesel;568
BRANDENBURG;01.09.21;EV;620
BRANDENBURG;01.09.21;CNG;4
BRANDENBURG;01.09.21;LPG;22
BRANDENBURG;01.09.21;Hybrid;1102
BREMEN;01.09.21;Benzin;395
BREMEN;01.09.21;Diesel;210
BREMEN;01.09.21;EV;170
BREMEN;01.09.21;CNG;1
BREMEN;01.09.21;LPG;11
BREMEN;01.09.21;Hybrid;376
HAMBURG;01.09.21;Benzin;2068
HAMBURG;01.09.21;Diesel;1529
HAMBURG;01.09.21;EV;776
HAMBURG;01.09.21;CNG;2
HAMBURG;01.09.21;LPG;6
HAMBURG;01.09.21;Hybrid;1545
HESSEN;01.09.21;Benzin;8631
HESSEN;01.09.21;Diesel;3086
HESSEN;01.09.21;EV;3087
HESSEN;01.09.21;CNG;25
HESSEN;01.09.21;LPG;90
HESSEN;01.09.21;Hybrid;5822
MECKLENBURG-VORPOMMERN;01.09.21;Benzin;899
MECKLENBURG-VORPOMMERN;01.09.21;Diesel;446
MECKLENBURG-VORPOMMERN;01.09.21;EV;344
MECKLENBURG-VORPOMMERN;01.09.21;CNG;2
MECKLENBURG-VORPOMMERN;01.09.21;LPG;6
MECKLENBURG-VORPOMMERN;01.09.21;Hybrid;716
NIEDERSACHSEN;01.09.21;Benzin;8198
NIEDERSACHSEN;01.09.21;Diesel;3512
NIEDERSACHSEN;01.09.21;EV;3529
NIEDERSACHSEN;01.09.21;CNG;42
NIEDERSACHSEN;01.09.21;LPG;102
NIEDERSACHSEN;01.09.21;Hybrid;4471
NORDRHEIN-WESTFALEN;01.09.21;Benzin;14086
NORDRHEIN-WESTFALEN;01.09.21;Diesel;5942
NORDRHEIN-WESTFALEN;01.09.21;EV;7317
NORDRHEIN-WESTFALEN;01.09.21;CNG;33
NORDRHEIN-WESTFALEN;01.09.21;LPG;218
NORDRHEIN-WESTFALEN;01.09.21;Hybrid;14419
RHEINLAND-PFALZ;01.09.21;Benzin;2616
RHEINLAND-PFALZ;01.09.21;Diesel;1239
RHEINLAND-PFALZ;01.09.21;EV;1655
RHEINLAND-PFALZ;01.09.21;CNG;5
RHEINLAND-PFALZ;01.09.21;LPG;53
RHEINLAND-PFALZ;01.09.21;Hybrid;2640
SAARLAND;01.09.21;Benzin;820
SAARLAND;01.09.21;Diesel;340
SAARLAND;01.09.21;EV;363
SAARLAND;01.09.21;CNG;
SAARLAND;01.09.21;LPG;8
SAARLAND;01.09.21;Hybrid;862
SACHSEN;01.09.21;Benzin;2767
SACHSEN;01.09.21;Diesel;1127
SACHSEN;01.09.21;EV;806
SACHSEN;01.09.21;CNG;6
SACHSEN;01.09.21;LPG;56
SACHSEN;01.09.21;Hybrid;2147
SACHSEN-ANHALT;01.09.21;Benzin;1319
SACHSEN-ANHALT;01.09.21;Diesel;512
SACHSEN-ANHALT;01.09.21;EV;441
SACHSEN-ANHALT;01.09.21;CNG;4
SACHSEN-ANHALT;01.09.21;LPG;25
SACHSEN-ANHALT;01.09.21;Hybrid;1151
SCHLESWIG-HOLSTEIN;01.09.21;Benzin;2020
SCHLESWIG-HOLSTEIN;01.09.21;Diesel;945
SCHLESWIG-HOLSTEIN;01.09.21;EV;1276
SCHLESWIG-HOLSTEIN;01.09.21;CNG;4
SCHLESWIG-HOLSTEIN;01.09.21;LPG;20
SCHLESWIG-HOLSTEIN;01.09.21;Hybrid;1561
THÜRINGEN;01.09.21;Benzin;1421
THÜRINGEN;01.09.21;Diesel;578
THÜRINGEN;01.09.21;EV;506
THÜRINGEN;01.09.21;CNG;2
THÜRINGEN;01.09.21;LPG;17
THÜRINGEN;01.09.21;Hybrid;1064
BADEN-WÜRTTEMBERG;01.08.21;Benzin;8037
BADEN-WÜRTTEMBERG;01.08.21;Diesel;4209
BADEN-WÜRTTEMBERG;01.08.21;EV;4176
BADEN-WÜRTTEMBERG;01.08.21;CNG;18
BADEN-WÜRTTEMBERG;01.08.21;LPG;91
BADEN-WÜRTTEMBERG;01.08.21;Hybrid;8390
BAYERN;01.08.21;Benzin;13223
BAYERN;01.08.21;Diesel;7239
BAYERN;01.08.21;EV;5432
BAYERN;01.08.21;CNG;41
BAYERN;01.08.21;LPG;79
