DATE,BUNDESLAND,BENZIN INSGESAMT,DARUNTER EURO 6,DIESEL INSGESAMT,DARUNTER EURO 61,FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),ERDGAS (CNG) (EINSCHL. BIVALENT),ELEKTRO (BEV),HYBRID,DARUNTER PLUG-IN,SONSTIGE
202103,NIEDERSACHSEN,12740.0,12637.0,7326.0,7316.0,175.0,77.0,3523.0,6175.0,2910.0,6.0
202103,NORDRHEIN-WESTFALEN,23903.0,23865.0,12318.0,12315.0,151.0,134.0,6406.0,18808.0,8311.0,17.0
202103,RHEINLAND-PFALZ,4496.0,4478.0,2467.0,2467.0,31.0,15.0,1499.0,3244.0,1527.0,2.0
202103,SAARLAND,1309.0,1309.0,573.0,573.0,8.0,5.0,284.0,990.0,342.0,1.0
202103,SACHSEN,4100.0,4090.0,2205.0,2205.0,31.0,13.0,677.0,2458.0,943.0,4.0
202103,SACHSEN-ANHALT,2047.0,2045.0,996.0,995.0,15.0,10.0,350.0,1215.0,392.0,1.0
202103,SCHLESWIG-HOLSTEIN,2778.0,2775.0,1854.0,1854.0,19.0,18.0,1118.0,2045.0,977.0,3.0
202103,THÜRINGEN,2488.0,2487.0,1333.0,1331.0,9.0,12.0,393.0,1412.0,589.0,1.0
202103,SONSTIGE,43.0,43.0,62.0,61.0,,,3.0,28.0,18.0,
202103,DEUTSCHLAND,115174.0,114698.0,64518.0,64459.0,674.0,571.0,30101.0,81220.0,35580.0,91.0
202102,BADEN-WÜRTTEMBERG,9435.0,9402.0,7084.0,7081.0,39.0,41.0,3541.0,7965.0,3678.0,
202102,BAYERN,14093.0,13905.0,11146.0,11090.0,30.0,64.0,3461.0,12831.0,5215.0,3.0
202102,BERLIN,1559.0,1554.0,833.0,833.0,8.0,8.0,440.0,1286.0,581.0,
202102,BRANDENBURG,1369.0,1369.0,752.0,752.0,12.0,4.0,332.0,748.0,321.0,
202102,BREMEN,310.0,307.0,358.0,358.0,,2.0,95.0,333.0,119.0,
202102,HAMBURG,3067.0,3059.0,2218.0,2218.0,3.0,2.0,416.0,1465.0,611.0,
202102,HESSEN,9268.0,9258.0,4803.0,4803.0,24.0,55.0,1439.0,4775.0,2060.0,2.0
202102,MECKLENBURG-VORPOMMERN,1021.0,1020.0,521.0,521.0,3.0,1.0,124.0,492.0,133.0,
202102,NIEDERSACHSEN,8229.0,8138.0,6161.0,6158.0,17.0,40.0,2048.0,3612.0,1664.0,
202102,NORDRHEIN-WESTFALEN,14286.0,14263.0,9124.0,9124.0,90.0,99.0,3808.0,12669.0,4781.0,12.0
202102,RHEINLAND-PFALZ,2852.0,2841.0,1626.0,1626.0,20.0,14.0,823.0,1823.0,878.0,4.0
